time,vel_x,vel_y,vel_z
0.14000997,0.00042174179,-1.4964413,-0.063065843
0.14501232,0.00042174179,-1.5454975,0.021520294
0.15001466,0.058983934,-1.5187207,0.021520294
0.15499847,0.067486136,-1.4365657,0.15586988
0.16000081,0.092703431,-1.3348693,0.11112836
0.16500315,0.13424672,-1.2709019,0.005424326
0.17000549,0.13424672,-1.3199581,0.005424326
0.17500784,0.13424672,-1.1675457,0.055469899
0.18001018,0.098542646,-1.0171608,0.14675584
0.18501252,0.05009032,-0.93365207,0.069241857
0.19001486,0.05009032,-0.98270828,0.069241857
0.19499867,0.036490435,-1.0315828,0.069241857
0.20000101,0.023903948,-0.97051192,0.13757144
0.20500336,0.03752244,-0.94273623,0.13757144
0.2100057,0.03752244,-0.9484135,0.13757144
0.21500804,0.0028522928,-0.95610854,0.13757144
0.22001038,0.076058488,-0.95467396,0.13757144
0.22501272,0.076058488,-1.0037302,0.13757144
0.23001506,0.076058488,-0.89858737,0.080643877
0.23499888,0.048395532,-0.92282038,0.080643877
0.24000122,0.048395532,-0.97187659,0.25424249
0.24500356,0.036381125,-0.92204463,0.25424249
0.2500059,0.036381125,-0.97110084,0.10558338
0.25500824,0.041174195,-0.90846058,0.10558338
0.26001058,0.15389303,-0.95037627,0.15270341
0.26501292,0.15389303,-0.96740713,0.15270341
0.27001527,0.29201814,-0.97474252,0.15270341
0.27499908,0.29201814,-1.023617,0.15240353
0.28000142,0.15389303,-0.95232914,0.11437283
0.28500376,0.15389303,-0.86951492,0.11437283
0.2900061,0.15389303,-0.91857113,0.11437283
0.29500844,0.13182842,-0.87895526,0.039164106
0.30001079,0.13182842,-0.92801147,0.039164106
0.30501313,0.13182842,-0.97706768,0.039164106
0.31001547,0.13182842,-1.0261239,0.039164106
0.31499928,0.13182842,-1.0749984,0.039164106
0.32000162,-0.024215136,-0.90972943,0.084544869
0.32500396,-0.024215136,-0.95878564,0.084544869
0.33000631,-0.024215136,-0.90326391,0.084544869
0.33500865,0.031537518,-0.95232012,0.045941024
0.34001099,0.079553375,-0.81018749,0.042242228
0.34501333,0.079553375,-0.8592437,0.042242228
0.35001567,0.079553375,-0.90269409,0.042242228
0.35499949,0.079553375,-0.95156861,0.042242228
0.36000183,0.079553375,-0.85653859,0.042242228
0.36500417,0.079553375,-0.90191664,0.038187136
0.37000651,0.071006217,-0.94834765,0.038187136
0.37500885,0.071006217,-0.87602897,0.038187136
0.38001119,0.044458935,-0.92508518,0.038187136
0.38501353,0.044458935,-0.97414139,0.038187136
0.39001587,0.098161948,-0.98713778,0.038187136
0.39499969,0.098161948,-0.89429864,0.038187136
0.40000203,0.04603876,-0.89225175,0.010254336
0.40500437,0.088534511,-0.9790437,0.010254336
0.41000671,0.096877217,-0.92289023,0.10152167
0.41500905,0.12791132,-0.89336325,0.10152167
0.42001139,0.12791132,-0.89278125,0.082170467
0.42501374,0.093984761,-0.92105503,0.059193716
0.43001608,0.093984761,-0.91823518,0.059193716
0.43499989,0.093984761,-0.91167963,0.059193716
0.44000223,0.093984761,-0.96073584,0.059193716
0.44500457,0.10020248,-0.95327761,0.049456309
0.45000692,0.052264247,-1.0309925,0.049456309
0.45500926,0.052264247,-0.88574027,0.01929774
0.4600116,0.052264247,-0.93479648,-0.011214698
0.46501394,0.052264247,-0.87727717,0.06092632
0.47001628,0.052264247,-0.92633338,0.06092632
0.47500009,0.052264247,-0.88769853,0.06092632
0.48000244,0.0054756399,-0.90713527,0.13100717
0.48500478,0.0054756399,-0.95619148,0.13100717
0.49000712,0.0054756399,-1.0052477,0.13100717
0.49500946,0.010591067,-0.9947114,0.13100717
0.5000118,0.020699731,-0.87744685,0.094282107
0.50501414,0.046709409,-0.87363154,0.087900086
0.51001648,0.046709409,-0.92268775,0.037814289
0.5150003,0.046709409,-0.97156227,0.037814289
0.52000264,0.070378476,-1.0183705,0.037794363
0.52500498,0.070378476,-1.073063,0.037794363
0.53000732,0.070378476,-0.85291445,0.051171347
0.53500966,0.070378476,-0.90197066,0.051171347
0.540012,0.070378476,-0.91156469,0.064342986
0.54501434,-0.015106547,-0.9606209,0.064342986
0.54999816,-0.015106547,-1.0094954,0.064342986
0.5550005,-0.0027370998,-1.0561709,0.064342986
0.56000284,0.035450612,-0.92042459,0.13769825
0.56500518,0.026065144,-0.9694808,0.096518361
0.57000752,0.12975867,-0.97652036,0.062733939
0.57500987,0.14611036,-0.92720386,0.017609694
0.58001221,0.14611036,-0.94539859,0.081672479
0.58501455,0.073329351,-0.9944548,0.081672479
0.58999836,0.073329351,-1.0741908,0.017651651
0.5950007,0.21886196,-0.95308958,0.24920347
0.60000304,0.21886196,-0.85854894,0.24920347
0.60500539,0.21886196,-0.89307484,0.24920347
0.61000773,0.093399499,-0.81356533,0.24585819
0.61501007,0.091825228,-0.8486952,0.0070701151
0.62001241,0.091825228,-0.89775141,0.0070701151
0.62501475,0.091825228,-0.94601778,0.0070701151
0.62999856,0.091825228,-0.88985119,0.11589553
0.63500091,0.091825228,-0.9389074,0.11589553
0.64000325,0.023674006,-0.88206425,0.11589553
0.64500559,0.023674006,-0.93112046,0.11589553
0.65000793,-0.027137124,-0.90575948,0.11589553
0.65501027,-0.0069081181,-0.87157873,0.11589553
0.66001261,0.04129346,-0.92006564,0.11589553
0.66501495,0.04129346,-0.92154672,0.058600795
0.66999877,0.04129346,-0.92519421,0.058600795
0.67500111,0.04129346,-0.97425042,0.058600795
0.68000345,0.04129346,-0.86774092,0.058600795
0.68500579,0.086193526,-0.91679713,0.058600795
0.69000813,0.086193526,-0.96585334,0.058600795
0.69501047,0.086193526,-0.92727545,0.058600795
0.70001282,0.093355269,-0.91262009,0.015472981
0.70501516,0.086193526,-0.9473349,0.014251802
0.70999897,0.086193526,-0.88469314,0.099379134
0.71500131,0.033553089,-0.89327064,0.099379134
0.72000365,0.075658414,-0.87810721,0.099379134
0.72500599,0.075658414,-0.92716342,0.099379134
0.73000834,0.075658414,-0.87278227,0.099379134
0.73501068,0.075658414,-0.88598429,0.099379134
0.74001302,0.054431326,-0.9350405,0.0013218953
0.74501536,0.054431326,-1.0276474,0.011752751
0.74999917,0.054431326,-0.92683808,0.011752751
0.75500151,0.054431326,-0.97589429,0.011752751
0.76000386,0.054431326,-1.0249505,0.011752751
0.7650062,0.085105297,-0.89217032,0.026887065
0.77000854,0.085105297,-0.94122653,0.026887065
0.77501088,0.085105297,-0.99028274,0.026887065
0.78001322,0.085105297,-0.90922371,0.026887065
0.78501556,0.085105297,-0.95827992,0.026887065
0.78999938,0.085105297,-0.91970179,0.031415939
0.79500172,0.085105297,-0.83151,0.031415939
0.80000406,0.081968253,-0.83375827,0.031415939
0.8050064,0.081968253,-0.88281448,0.031415939
0.81000874,0.081968253,-0.93187069,0.032717632
0.81501108,0.081968253,-0.9809269,0.032717632
0.82001342,0.081968253,-1.0299831,0.032717632
0.82501577,-0.004686623,-0.86087062,0.032717632
0.82999958,-0.004686623,-0.90974514,0.032717632
0.83500192,-0.021625084,-0.95880135,0.027974186
0.84000426,-0.0038920612,-0.87479028,0.033875436
0.8450066,-0.0038920612,-0.92384649,0.033875436
0.85000894,0.085968658,-0.80803917,0.10914726
0.85501129,0.085968658,-0.85709538,0.10914726
0.86001363,0.085968658,-0.90615159,0.10914726
0.86501597,0.085968658,-0.9552078,0.10914726
0.86999978,0.085968658,-0.83007077,0.10914726
0.87500212,0.085968658,-0.86089573,0.10914726
0.88000446,0.085968658,-0.90995194,0.10914726
0.88500681,0.082815118,-0.87549586,0.10914726
0.89000915,0.082815118,-0.92455207,0.036202978
0.89501149,0.29495886,-0.84473098,0.036202978
0.90001383,0.082815118,-0.88554543,0.036202978
0.90501617,0.082815118,-0.93460164,0.036202978
0.90999999,0.0048260024,-0.98347616,0.036202978
0.91500233,0.028437409,-0.86886484,0.036202978
0.92000467,0.028437409,-0.91792105,0.024685316
0.92500701,0.028437409,-0.96697726,0.024685316
0.93000935,0.028437409,-1.0160335,-0.027497286
0.93501169,0.028437409,-0.81832899,0.010799397
0.94001403,0.028437409,-0.86285895,0.010799397
0.94501637,0.028437409,-0.91191516,0.010799397
0.95000019,0.021942514,-0.96078968,0.010799397
0.95500253,0.021942514,-1.0098459,0.010799397
0.96000487,0.021942514,-1.0589021,0.010799397
0.96500721,0.021942514,-1.1079583,0.010799397
0.99500273,0.10548578,-1.0550973,-0.12075463
1.0000051,0.10548578,-1.1041535,-0.12075463
